time,lat,lon,alt,speed
2026-04-02 17:00:43.592,11.0269931,77.027282,2412.0,0.95
2026-04-02 17:00:43.792,11.0269928,77.027282,2412.0,0.95
2026-04-02 17:00:43.992,11.0269934,77.0272819,2412.0,0.95
2026-04-02 17:00:44.192,11.0269942,77.0272819,2412.0,0.95
2026-04-02 17:00:44.392,11.0269945,77.0272817,2412.0,0.95
2026-04-02 17:00:44.592,11.0269948,77.0272813,2412.0,0.95
2026-04-02 17:00:44.791,11.0269954,77.0272813,2412.0,0.95
2026-04-02 17:00:44.992,11.026996,77.0272814,2412.0,0.95
2026-04-02 17:00:45.192,11.0269968,77.0272812,2412.0,0.95
2026-04-02 17:00:45.392,11.0269984,77.0272813,2412.0,0.95
2026-04-02 17:00:45.592,11.0270006,77.0272814,2412.0,0.95
2026-04-02 17:00:45.792,11.0270032,77.0272813,2412.0,0.95
2026-04-02 17:00:45.992,11.0270053,77.0272812,2412.0,0.95
2026-04-02 17:00:46.192,11.0270065,77.0272821,2412.0,0.95
2026-04-02 17:00:46.392,11.0270087,77.0272829,2412.0,0.95
2026-04-02 17:00:46.592,11.0270111,77.0272838,2412.0,0.95
2026-04-02 17:00:46.792,11.0270128,77.0272851,2412.0,0.95
2026-04-02 17:00:46.992,11.0270136,77.0272872,2412.0,0.95
2026-04-02 17:00:47.192,11.0270153,77.0272886,2412.0,0.95
2026-04-02 17:00:47.392,11.0270164,77.02729,2412.0,0.95
2026-04-02 17:00:47.592,11.0270171,77.0272913,2412.0,0.95
2026-04-02 17:00:47.792,11.0270177,77.0272919,2412.0,0.95
2026-04-02 17:00:47.992,11.0270178,77.0272921,2412.0,0.95
2026-04-02 17:00:48.192,11.0270178,77.0272923,2412.0,0.95
2026-04-02 17:00:48.392,11.0270175,77.0272926,2412.0,0.95
2026-04-02 17:00:48.592,11.0270171,77.0272931,2412.0,0.95
2026-04-02 17:00:48.792,11.0270172,77.0272933,2412.0,0.95
2026-04-02 17:00:48.993,11.0270173,77.0272933,2412.0,0.95
2026-04-02 17:00:49.192,11.027017,77.0272934,2412.0,0.95
2026-04-02 17:00:49.392,11.0270165,77.0272936,2412.0,0.95
2026-04-02 17:00:49.593,11.027016,77.0272937,2412.0,0.95
2026-04-02 17:00:49.792,11.0270158,77.027294,2412.0,0.95
2026-04-02 17:00:49.992,11.0270158,77.0272939,2412.0,0.95
2026-04-02 17:00:50.192,11.0270156,77.0272939,2412.0,0.95
2026-04-02 17:00:50.392,11.0270153,77.0272939,2412.0,0.95
2026-04-02 17:00:50.593,11.0270151,77.0272939,2412.0,0.95
2026-04-02 17:00:50.792,11.0270143,77.0272941,2412.0,0.95
2026-04-02 17:00:50.992,11.027014,77.0272942,2412.0,0.95
2026-04-02 17:00:51.193,11.0270134,77.0272943,2412.0,0.95
2026-04-02 17:02:12.795,11.0269825,77.0272755,2412.0,0.9
2026-04-02 17:02:12.995,11.0269828,77.0272755,2412.0,0.9
2026-04-02 17:02:13.215,11.026983,77.0272755,2412.0,0.9
2026-04-02 17:02:13.395,11.0269833,77.0272754,2412.0,0.9
2026-04-02 17:02:13.596,11.0269835,77.0272752,2412.0,0.9
2026-04-02 17:02:13.795,11.0269836,77.0272752,2412.0,0.9
2026-04-02 17:02:13.995,11.0269838,77.0272752,2412.0,0.9
2026-04-02 17:02:14.215,11.0269838,77.0272752,2412.0,0.9
2026-04-02 17:02:14.395,11.026984,77.0272751,2412.0,0.9
2026-04-02 17:02:14.596,11.0269842,77.0272751,2412.0,0.9
2026-04-02 17:02:14.795,11.0269843,77.027275,2412.0,0.9
2026-04-02 17:02:14.995,11.0269844,77.027275,2412.0,0.9
2026-04-02 17:02:15.215,11.0269845,77.027275,2412.0,0.9
2026-04-02 17:02:15.396,11.0269847,77.027275,2412.0,0.9
2026-04-02 17:02:15.596,11.0269846,77.027275,2412.0,0.9
2026-04-02 17:02:15.795,11.0269846,77.027275,2412.0,0.9
2026-04-02 17:02:16.015,11.0269848,77.027275,2412.0,0.9
2026-04-02 17:02:16.215,11.0269851,77.027275,2412.0,0.9
2026-04-02 17:02:16.395,11.0269855,77.027275,2412.0,0.9
2026-04-02 17:02:16.595,11.0269859,77.0272751,2412.0,0.9
2026-04-02 17:02:16.795,11.0269861,77.027275,2412.0,0.9
2026-04-02 17:02:16.995,11.0269863,77.0272751,2412.0,0.9
2026-04-02 17:02:17.215,11.0269863,77.0272751,2412.0,0.9
2026-04-02 17:02:17.415,11.0269865,77.027275,2412.0,0.9
2026-04-02 17:02:17.595,11.0269868,77.0272749,2412.0,0.9
2026-04-02 17:02:17.795,11.0269871,77.0272749,2412.0,0.9
2026-04-02 17:02:17.995,11.0269874,77.0272748,2412.0,0.9
2026-04-02 17:02:18.215,11.0269877,77.0272748,2412.0,0.9
2026-04-02 17:02:18.395,11.0269881,77.0272748,2412.0,0.9
2026-04-02 17:02:18.595,11.0269885,77.0272748,2412.0,0.9
2026-04-02 17:02:18.795,11.026989,77.0272748,2412.0,0.9
2026-04-02 17:02:18.995,11.0269893,77.0272749,2412.0,0.9
2026-04-02 17:02:19.215,11.0269895,77.0272749,2412.0,0.9
2026-04-02 17:02:19.395,11.0269897,77.0272749,2412.0,0.9
2026-04-02 17:02:19.595,11.0269899,77.0272749,2412.0,0.9
2026-04-02 17:02:19.795,11.0269902,77.027275,2412.0,0.9
2026-04-02 17:02:19.995,11.0269906,77.0272751,2412.0,0.9
2026-04-02 17:02:20.216,11.0269911,77.0272751,2412.0,0.9
2026-04-02 17:02:20.395,11.0269915,77.0272752,2412.0,0.9
2026-04-02 17:02:20.615,11.0269919,77.0272753,2412.0,0.9
2026-04-02 17:02:20.795,11.0269923,77.0272753,2412.0,0.9
2026-04-02 17:02:20.996,11.0269926,77.0272754,2412.0,0.9
2026-04-02 17:02:21.215,11.026993,77.0272755,2412.0,0.9
